WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 917-660-993
DEBUG:geventwebsocket.handler:Initializing WebSocket
DEBUG:geventwebsocket.handler:Validating WebSocket request
INFO:geventwebsocket.handler:127.0.0.1 - - [2021-11-30 00:29:51] "GET /socket.io/?client=agv&transport=polling&EIO=4&t=1638199789.725779 HTTP/1.1" 200 254 0.001011
DEBUG:geventwebsocket.handler:Initializing WebSocket
DEBUG:geventwebsocket.handler:Validating WebSocket request
DEBUG:geventwebsocket.handler:Attempting to upgrade connection
DEBUG:geventwebsocket.handler:WebSocket request accepted, switching protocols
INFO:root:{"DATA_TYPE": "alarm", "AGV_NO": "agv", "ALARMS": [{"ALARM_CD": "32", "ALARM_STATUS": 0, "ALARM_DTL": "Tray 구동 실패", "OCCUR_DT": "20211130 00:29:34", "END_DT": "20211130 00:29:51"}, {"ALARM_CD": "12", "ALARM_STATUS": 1, "ALARM_DTL": "직진 후, 위치 오류", "OCCUR_DT": "20211130 00:29:51", "END_DT": null}]}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00010002", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00020024", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
INFO:root:{"DATA_TYPE": "report", "AGV_NO": "agv", "LOCATION": "00020024", "STATE": "1", "MODE": "1", "DIRECTION": "0", "MAX_VELOCITY": "2.5", "TILT_MAX_ANGLE": "20", "BELT_MAX_SPEED": "1.5", "COMMAND_WAIT_TIME": "10", "MIN_VOLTAGE": "15.6", "BATTERY_LVL": "30", "AGV_FIRMWARE_VERSION": "1.01"}
